City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,10.83,72,67,7.96,NZ,1731370043
1,galesong,-5.3166,119.3661,27.66,75,67,2.51,ID,1731370043
2,mermoz boabab,14.7065,-17.4758,27.13,71,100,6.7,SN,1731370044
3,al fahahil,29.0825,48.1303,26.05,49,0,2.47,KW,1731370044
4,wailua homesteads,22.0669,-159.378,25.44,93,100,4.12,US,1731370044
5,sunzha,43.3211,45.0522,5.56,96,100,2.32,RU,1731370045
6,puerto natales,-51.7236,-72.4875,7.29,85,78,5.15,CL,1731370045
7,edinburgh of the seven seas,-37.0676,-12.3116,13.09,78,100,6.92,SH,1731370046
8,grytviken,-54.2811,-36.5092,-0.35,92,93,4.76,GS,1731370046
9,port-aux-francais,-49.35,70.2167,4.87,92,100,6.11,TF,1731370046
10,belyy yar,53.6039,91.3903,1.94,69,0,7.0,RU,1731370047
11,isafjordur,66.0755,-23.124,9.15,89,100,10.47,IS,1731370047
12,horad zhodzina,54.0983,28.3325,0.67,87,78,1.72,BY,1731370047
13,fort bragg,35.139,-79.006,18.91,91,0,2.06,US,1731370048
14,santo antonio,-6.3106,-35.4789,23.56,76,77,2.86,BR,1731370048
15,ha'il,27.5219,41.6907,18.01,72,0,1.03,SA,1731370049
16,carnarvon,-24.8667,113.6333,22.42,54,15,9.19,AU,1731370049
17,cabedelo,-6.9811,-34.8339,26.37,74,94,3.25,BR,1731370049
18,massaguet,12.4755,15.4365,26.63,23,2,5.24,TD,1731370049
19,invercargill,-46.4,168.35,15.57,57,14,5.81,NZ,1731369949
20,hawaiian paradise park,19.5933,-154.9731,24.39,92,13,0.89,US,1731370050
21,kuta,-8.7233,115.1723,27.97,94,40,2.06,ID,1731370050
22,plouguerneau,48.6,-4.5,8.36,93,0,1.54,FR,1731370051
23,hithadhoo,-0.6,73.0833,28.57,70,100,8.04,MV,1731370051
24,alofi,-19.0595,-169.9187,21.94,94,75,7.2,NU,1731370051
25,lebu,-37.6167,-73.65,11.8,73,85,7.19,CL,1731370051
26,hermanus,-34.4187,19.2345,16.0,81,46,3.38,ZA,1731370052
27,kambia,9.1167,-12.9167,24.72,84,30,1.18,SL,1731370052
28,puerto ayora,-0.7393,-90.3518,21.97,86,50,2.68,EC,1731370052
29,ribeira grande,38.5167,-28.7,20.99,95,95,10.28,PT,1731370053
30,targu carbunesti,44.95,23.5167,3.34,96,100,1.36,RO,1731370053
31,tenno,39.9,139.9667,11.43,66,98,2.55,JP,1731370053
